Tweet,TwitterHandle,UserLocation,DateCreated,NumberofRetweets
Painfully slow brain action. https://t.co/vXQ2DvzduD,alexculvin,Liverpool,2017-12-13 11:28:38,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,itsmee_eli,I never leave my bed,2017-12-13 11:28:39,0
I just cant watch myself dismantle everything good and wonder what happened. Now i see myself doing it from the bac… https://t.co/sv4UYmNz9v,PantsAreOff,New York,2017-12-13 11:28:39,0
Literally have not been to sleep yet bc my brain won’t shut off and I’m physically not tired I’ve slept a good 30 minutes😭😭,callmeshelbers,,2017-12-13 11:28:39,0
it’s almost 4am i’ve never studied this hard in my entire life and i’m still not even done my brain is fried i’m re… https://t.co/mchINZP4Ic,killingbooth,"Costa Mesa, CA",2017-12-13 11:28:41,0
"RT @HuaweiMobile: We surveyed 10,000 people to find out the similarities between the human brain and AI. The results may surprise you… ",Lookin_Gorgeous,,2017-12-13 11:28:42,0
"Advanced Power Query - The Missing User Manual Finally Here
☞ https://t.co/wsikOEvXDf

#python https://t.co/5AdEPTMbdq",PythonsTraining,United Kingdom,2017-12-13 11:28:42,0
"Brain has shut off now that most of my assignments are in. Just had a ""did I remember to put a bra on?"" Moment",notcourtneylove,"Dublin City, Ireland",2017-12-13 11:28:43,0
"@LekpahShandii I got off the train and once he was out of sight, my brain sorted itself out.",DamzelinEssex,in my room,2017-12-13 11:28:46,0
"@RealAlexJones @PrisonPlanet Oh, nice try but ultimately wrong. Maybe not enough brain force plus?",the_hyper_cube,,2017-12-13 11:28:46,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,aaron_mh_,,2017-12-13 11:28:47,0
"RT @kurteichenwald: ...and the brain drain begins. Top American scientists from Harvard, Princeton etc. receiving research grants by ag… ",excitedtobhere,"Michigan, USA",2017-12-13 11:28:48,0
"RT @pronemortalform: friend: hey u aight

me: yeah

my brain: https://t.co/6ddGfTXbAY",werone412,잡다한 덕질 ,2017-12-13 11:28:50,0
"RT @ugsadkid: me: i'm really anxious about this thing :(

my brain: hey don't be, if it doesn't work out you can always die :)

me: i... th…",mindsweepx,"birmingam, uk",2017-12-13 11:28:51,0
"RT @DolamaRey: Walking to the final exams, prepared, memorized every page, know the history of every disease to the dark ages, bra… ",AlaaJrab,221B Baker St.,2017-12-13 11:28:51,0
"RT @iamamurray: Source: https://t.co/HXrTLoOgyY ; and, a brain https://t.co/9K6ZyVea3X",filippa_back,Sverige,2017-12-13 11:28:52,0
@austbankers I think the haircut must have done something to your brain!,Marvell_Law,,2017-12-13 11:28:53,0
your brain gets smart but your head gets dumb,_allstar_bot_,smash mouth headquarters,2017-12-13 11:28:56,0
Here's Susan Greenfield Crunchbase page https://t.co/lxjT10UH9U #SusanGreenfield #Neuroscience https://t.co/RDAaKQ7rBB,BaronessGreenfi,"London, England",2017-12-13 11:28:56,0
RT @adamjohnsonNYC: West Wingism is a brain disease that has infected our media and political class beyond measure.,scottcriley,"Durham, North Carolina",2017-12-13 11:28:56,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,kizzayye,"Georgia, USA",2017-12-13 11:28:56,0
"RT @MirekManelski: ""Action games expand the brain's cognitive abilities, study suggests"" https://t.co/bUMzp2tVUU #science #feedly #gamedev…",Broxigar91,Biar (Alicante),2017-12-13 11:28:57,0
Muriel Spark's appeal is through subliminal channels of the reader's brain. We're not very sure why we find her so… https://t.co/0Mv3hiBVPD,DrmkcookK,,2017-12-13 11:28:57,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,CatherineTestan,,2017-12-13 11:28:57,0
Imagine if lactulose trapping ammonia in the gut could prevent urea build up in the brain and stop dementia. 🤞🤞 https://t.co/yy8wn5AYdD,LouSheffield,"Wigan, UK",2017-12-13 11:28:57,0
"RT @Itsgirlstyles: Definition of beauty with brain, Emma Watson 💘 https://t.co/fGXA3cS9lG",Prettyreporter,Bangkok Entertainment ,2017-12-13 11:28:58,0
"RT @sadgirlkms: me: wow i sure am hungry but idk what to eat

brain: just fuckin eat nothing 

me: understandable have a good day",loupenhaligan,chili town,2017-12-13 11:28:59,0
"bitch i know that i want to punch him for not saying no,, the fck did you just attack me?? https://t.co/hhCyGtNo8J",fleetwoodmax,,2017-12-13 11:29:01,0
RT @DavidPapp: Virtualenv and venv: Python virtual environments explained https://t.co/uvOhP64AIm,mx6menot8u,"Cold spring, MN",2017-12-13 11:29:01,0
Maybe if I put a wheat bag on my brain it'll work,markh110,"Melbourne, Australia",2017-12-13 11:29:02,0
"@thistallawkgirl I lost brain cells watching this, thanks a lot!",Leo_Ibanez,"Miami, FL",2017-12-13 11:29:03,0
@sunlitae That song stuck in my brain all night long. Even in the class,Laylxzua,"Perak, Malaysia",2017-12-13 11:29:04,0
[schizo] Aging of the body and the brain in schizophrenia. https://t.co/k71ev4FIb3,lp_mypapers,,2017-12-13 11:29:07,0
New Artificial Synapse Bridges the Gap to Brain-Like Computers https://t.co/5xOZWNFqr1,Gadget_Koala,,2017-12-13 11:29:08,0
"Python GUI and Gaming 101 with Tkinter
☞ https://t.co/ULn7j0swaO
#DataScience #BigData
Hy5P1cZDAb https://t.co/VRFp2weUiy",DataScience_fan,United States,2017-12-13 11:29:09,0
"The Complete Ethical Hacking Course 2.0: Python &amp; Kali Linux
☞ https://t.co/eL4Lq91kfB
#linux #windows #server 
rk4… https://t.co/jrBL6dEUss",Operating_St,United States,2017-12-13 11:29:09,0
@LeppardLove21 @moonkings_fanpg Ok well you better rest that  brain over the holidays💥💥💥💥💥🤗🤗🤗🤗🤗🤗🤗❤️❤️❤️❤️❤️,Carolin94145198,Nashville￼,2017-12-13 11:29:10,0
"Redux – End to End
☞ https://t.co/S6li278GMG
#python #Bigdata #django

H1dYSd_RW https://t.co/kSoGjYfZOz",Python__Program,Canada,2017-12-13 11:29:10,0
"You know how there are headsets that make you hear things by sending vibrations to your bones?
Like, can't there be… https://t.co/gG7E5Qxmc3",unIDedTypingObj,A Trash Heap or Box Near You,2017-12-13 11:29:12,0
"@python NowTime: 2017/12/13 20:29:12.7876
TweetCount: 2065",nfz6,,2017-12-13 11:29:12,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,mariamhates,blm,2017-12-13 11:29:12,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,peconte,Amadora,2017-12-13 11:29:14,0
RT @classifiedfact: Daydreaming is good for your brain.,aliyyahanani,,2017-12-13 11:29:17,0
